conn prev LSN,conn last LSN,page nr,nr in page,transaction num,this LSN,previous LSN,undo next LSN,data length,sequence nr,client index,record type,derived record type,transaction id,flag,is split?,redo operation,undo operation,deriv redo,deriv undo,redo offset,redo length,undo offset,undo length,target attribute,lcn to follow?,record offset,attribute offset,MFT cluster index,target VCN,target LCN,deriv inum,em_MFT seq value,em_USN usn,em_ATTR filename
1067985,1068515,21,19,,1068400,1068384,1068384,88,0,0,1,transaction,24,0,False,28,0,Open Non Resident Attribute,No-Operation,40,40,80,8,424,0,0,0,0,0,4126471552,0,,,
1067985,1068515,21,20,,1068417,1068400,1068400,40,0,0,1,transaction,24,6,False,0,0,No-Operation,No-Operation,40,0,40,0,424,0,0,0,0,0,65536,0,,,
1067985,1068515,21,21,,1068428,1068417,1068417,88,0,0,1,transaction,24,4,False,12,13,Add Index Entry Root,Delete Index Entry Root,40,48,88,0,24,1,440,64,2,2,599,9,,,
1067985,1068515,21,22,,1068445,1068428,1068428,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,19,64,19,24,1,56,77,0,0,597,0,,,
1067985,1068515,21,23,,1068462,1068445,1068445,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,240,0,2,0,597,1,,,
1067985,1068515,21,24,,1068489,1068462,1068462,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,2,0,597,1,,,
1067985,1068515,21,25,,1068515,1068489,1068489,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,19,64,19,24,1,56,77,2,0,597,1,,,
1068515,1069010,22,0,,1068532,1068515,1068515,168,0,0,1,transaction,24,3,True,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,240,0,4,0,597,2,,,
1068515,1069010,22,1,,1068567,1068532,1068532,160,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,72,112,48,24,1,56,24,4,0,597,2,,,
1068515,1069010,22,2,,1068593,1068567,1068567,88,0,0,1,transaction,24,0,False,7,7,Update Resident Value,Update Resident Value,40,19,64,19,24,1,56,77,4,0,597,2,,,
1068515,1069010,22,3,,1068610,1068593,1068593,168,0,0,1,transaction,24,2,False,6,5,Delete Attribute,Create Attribute,40,0,40,128,24,1,232,0,4,1,598,6,,,
