mft lsn,correct,length,transaction num,page_origins,first_lsn,last_lsn,first_redo,first_undo,last_redo,last_undo,need previous,no forget+compensation,mft,mft attribute,usn,all_opcodes
1085430,True,5,30,"70-17, 70-18, 70-19, 71-0, 71-1",1085370,1085451,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1085389, 4744)]","[(1085370, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1085389, 'Update Nonresident Value', 'No-Operation'), (1085411, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1085430, 'Update Resident Value', 'Update Resident Value'), (1085451, 'Forget Transaction', 'Compensation Log Record')]"
1085896,True,8,53,"71-13, 71-14, 71-15, 71-16, 71-17, 71-18, 71-19, 71-20",1085794,1085915,Clear Bits in Nonresident Bitmap,Set Bits in Nonresident Bitmap,Forget Transaction,Compensation Log Record,,,[],[],"[(1085875, 4920)]","[(1085794, 'Clear Bits in Nonresident Bitmap', 'Set Bits in Nonresident Bitmap'), (1085806, 'Delete Index Entry Allocation', 'Add Index Entry Allocation'), (1085830, 'Deallocate File Record Segment', 'Initialize File Record Segment'), (1085844, 'Clear Bits in Nonresident Bitmap', 'Set Bits in Nonresident Bitmap'), (1085856, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1085875, 'Update Nonresident Value', 'No-Operation'), (1085896, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1085915, 'Forget Transaction', 'Compensation Log Record')]"
1077705,True,10,45,"55-13, 55-14, 55-15, 55-16, 55-17, 55-18, 55-19, 55-20, 55-21, 55-22",1077540,1077724,Set Bits in Nonresident Bitmap,Clear Bits in Nonresident Bitmap,Forget Transaction,Compensation Log Record,,,"[(1077616, 39, 1)]",[],"[(1077683, 1744)]","[(1077540, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1077552, 'No-Operation', 'Deallocate File Record Segment'), (1077564, 'Open Non Resident Attribute', 'No-Operation'), (1077581, 'No-Operation', 'No-Operation'), (1077592, 'Add Index Entry Root', 'Delete Index Entry Root'), (1077616, 'Initialize File Record Segment', 'No-Operation'), (1077664, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1077683, 'Update Nonresident Value', 'No-Operation'), (1077705, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1077724, 'Forget Transaction', 'Compensation Log Record')]"
1074378,True,9,113,"49-5, 49-6, 49-7, 49-8, 49-9, 49-10, 49-11, 49-12, 49-13",1074252,1074391,Clear Bits in Nonresident Bitmap,Set Bits in Nonresident Bitmap,Forget Transaction,Compensation Log Record,,,[],[],"[(1074338, 80)]","[(1074252, 'Clear Bits in Nonresident Bitmap', 'Set Bits in Nonresident Bitmap'), (1074264, 'Update Mapping Pairs', 'Update Mapping Pairs'), (1074277, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074294, 'Update File Name Allocation', 'Update File Name Allocation'), (1074319, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074338, 'Update Nonresident Value', 'No-Operation'), (1074359, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1074378, 'Update Resident Value', 'Update Resident Value'), (1074391, 'Forget Transaction', 'Compensation Log Record')]"
1080781,True,5,82,"61-11, 61-12, 61-13, 61-14, 61-15",1080719,1080794,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1080738, 3168)]","[(1080719, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1080738, 'Update Nonresident Value', 'No-Operation'), (1080762, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1080781, 'Update Resident Value', 'Update Resident Value'), (1080794, 'Forget Transaction', 'Compensation Log Record')]"
1085238,True,2,123,"70-9, 70-10",1085238,1085249,Update Resident Value,Update Resident Value,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1085238, 'Update Resident Value', 'Update Resident Value'), (1085249, 'Forget Transaction', 'Compensation Log Record')]"
1071829,True,2,42,"44-10, 44-11",1071829,1071850,Update Resident Value,Update Resident Value,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1071829, 'Update Resident Value', 'Update Resident Value'), (1071850, 'Forget Transaction', 'Compensation Log Record')]"
1071062,True,10,85,"42-17, 42-18, 42-19, 42-20, 42-21, 42-22, 42-23, 42-24, 42-25, 42-26",1070885,1071079,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],[],"[(1070885, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1070902, 'Update Nonresident Value', 'Update Nonresident Value'), (1070914, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1070931, 'Update Nonresident Value', 'Update Nonresident Value'), (1070943, 'Update Nonresident Value', 'Update Nonresident Value'), (1070986, 'Update Nonresident Value', 'Update Nonresident Value'), (1071029, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1071046, 'Add Index Entry Root', 'Delete Index Entry Root'), (1071062, 'Add Index Entry Root', 'Delete Index Entry Root'), (1071079, 'Forget Transaction', 'Compensation Log Record')]"
1080023,True,5,80,"60-10, 60-11, 60-12, 60-13, 60-14",1079964,1080036,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1079983, 2984)]","[(1079964, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1079983, 'Update Nonresident Value', 'No-Operation'), (1080004, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1080023, 'Update Resident Value', 'Update Resident Value'), (1080036, 'Forget Transaction', 'Compensation Log Record')]"
1079256,True,6,149,"58-19, 58-20, 58-21, 58-22, 58-23, 58-24",1079186,1079275,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],[],"[(1079235, 2504)]","[(1079186, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1079203, 'Update Resident Value', 'Update Resident Value'), (1079216, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1079235, 'Update Nonresident Value', 'No-Operation'), (1079256, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1079275, 'Forget Transaction', 'Compensation Log Record')]"
1076697,True,18,17,"53-2, 53-3, 53-4, 53-5, 53-6, 53-7, 53-8, 53-9, 53-10, 53-11, 53-12, 53-13, 53-14, 53-15, 53-16, 53-17, 53-18, 53-19",1076243,1076714,Set New Attribute Sizes,Set New Attribute Sizes,Forget Transaction,Compensation Log Record,,,[],"[(1076448, 'IndexRoot'), (1076526, 'IndexAllocation'), (1076547, 'Bitmap'), (1076659, 'IndexRoot')]",[],"[(1076243, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1076260, 'Update Nonresident Value', 'Update Nonresident Value'), (1076272, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1076289, 'Update Nonresident Value', 'Update Nonresident Value'), (1076301, 'Update Nonresident Value', 'Update Nonresident Value'), (1076366, 'Update Nonresident Value', 'Update Nonresident Value'), (1076431, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1076448, 'Delete Attribute', 'Create Attribute'), (1076514, 'Set Bits in Nonresident Bitmap', 'Clear Bits in Nonresident Bitmap'), (1076526, 'Create Attribute', 'Delete Attribute'), (1076547, 'Create Attribute', 'Delete Attribute'), (1076563, 'Update Resident Value', 'Update Resident Value'), (1076576, 'Set New Attribute Sizes', 'Set New Attribute Sizes'), (1076593, 'Update Nonresident Value', 'No-Operation'), (1076659, 'Create Attribute', 'Delete Attribute'), (1076681, 'Add Index Entry Allocation', 'Delete Index Entry Allocation'), (1076697, 'Add Index Entry Allocation', 'Delete Index Entry Allocation'), (1076714, 'Forget Transaction', 'Compensation Log Record')]"
